tradeIndex,type,message
265,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=532, OUT=533"
266,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=534, OUT=535"
267,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=536, OUT=537"
268,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=538, OUT=539"
268,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
269,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=540, OUT=541"
270,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=542, OUT=543"
271,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=544, OUT=545"
272,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=546, OUT=547"
273,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=548, OUT=549"
274,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=550, OUT=551"
